datetime,conditions,quarter
2000-04-01,Clear,2
2000-04-02,Clear,2
2000-04-03,Clear,2
2000-04-04,Partially cloudy,2
2000-04-05,Partially cloudy,2
2000-04-06,Partially cloudy,2
2000-04-07,Partially cloudy,2
2000-04-08,Partially cloudy,2
2000-04-09,Clear,2
2000-04-10,Clear,2
2000-04-11,Partially cloudy,2
2000-04-12,Partially cloudy,2
2000-04-13,Partially cloudy,2
2000-04-14,"Rain, Partially cloudy",2
2000-04-15,Partially cloudy,2
2000-04-16,Partially cloudy,2
2000-04-17,"Rain, Partially cloudy",2
2000-04-18,"Rain, Partially cloudy",2
2000-04-19,Partially cloudy,2
2000-04-20,Clear,2
2000-04-21,Partially cloudy,2
2000-04-22,Partially cloudy,2
2000-04-23,Partially cloudy,2
2000-04-24,Clear,2
2000-04-25,Clear,2
2000-04-26,Clear,2
2000-04-27,Partially cloudy,2
2000-04-28,Partially cloudy,2
2000-04-29,Clear,2
2000-04-30,Clear,2
2000-05-01,Clear,2
2000-05-02,Clear,2
2000-05-03,Clear,2
2000-05-04,Partially cloudy,2
2000-05-05,Partially cloudy,2
2000-05-06,Partially cloudy,2
2000-05-07,Partially cloudy,2
2000-05-08,Partially cloudy,2
2000-05-09,Partially cloudy,2
2000-05-10,Partially cloudy,2
2000-05-11,Partially cloudy,2
2000-05-12,Clear,2
2000-05-13,Clear,2
2000-05-14,Partially cloudy,2
2000-05-15,Partially cloudy,2
2000-05-16,Partially cloudy,2
2000-05-17,Clear,2
2000-05-18,Clear,2
2000-05-19,Clear,2
2000-05-20,Clear,2
2000-05-21,Partially cloudy,2
2000-05-22,Partially cloudy,2
2000-05-23,Partially cloudy,2
2000-05-24,Partially cloudy,2
2000-05-25,"Rain, Partially cloudy",2
2000-05-26,Partially cloudy,2
2000-05-27,Clear,2
2000-05-28,Clear,2
2000-05-29,Partially cloudy,2
2000-05-30,Partially cloudy,2
2000-05-31,Partially cloudy,2
2000-06-01,Partially cloudy,2
2000-06-02,Partially cloudy,2
2000-06-03,Partially cloudy,2
2000-06-04,Clear,2
2000-06-05,Clear,2
2000-06-06,Clear,2
2000-06-07,Clear,2
2000-06-08,Partially cloudy,2
2000-06-09,Clear,2
2000-06-10,Clear,2
2000-06-11,Clear,2
2000-06-12,Partially cloudy,2
2000-06-13,Clear,2
2000-06-14,Partially cloudy,2
2000-06-15,Partially cloudy,2
2000-06-16,Partially cloudy,2
2000-06-17,Partially cloudy,2
2000-06-18,Partially cloudy,2
2000-06-19,Partially cloudy,2
2000-06-20,Partially cloudy,2
2000-06-21,Partially cloudy,2
2000-06-22,Partially cloudy,2
2000-06-23,Partially cloudy,2
2000-06-24,Partially cloudy,2
2000-06-25,Partially cloudy,2
2000-06-26,Clear,2
2000-06-27,Partially cloudy,2
2000-06-28,Partially cloudy,2
2000-06-29,Partially cloudy,2
2000-06-30,Partially cloudy,2
2001-04-01,Partially cloudy,2
2001-04-02,Partially cloudy,2
2001-04-03,Partially cloudy,2
2001-04-04,Partially cloudy,2
2001-04-05,Partially cloudy,2
2001-04-06,Partially cloudy,2
2001-04-07,"Rain, Partially cloudy",2
2001-04-08,Clear,2
2001-04-09,"Rain, Partially cloudy",2
2001-04-10,Partially cloudy,2
2001-04-11,Partially cloudy,2
2001-04-12,Partially cloudy,2
2001-04-13,Clear,2
2001-04-14,Clear,2
2001-04-15,Clear,2
2001-04-16,Clear,2
2001-04-17,Clear,2
2001-04-18,Partially cloudy,2
2001-04-19,Partially cloudy,2
2001-04-20,"Rain, Partially cloudy",2
2001-04-21,"Rain, Partially cloudy",2
2001-04-22,Clear,2
2001-04-23,Clear,2
2001-04-24,Clear,2
2001-04-25,Clear,2
2001-04-26,Partially cloudy,2
2001-04-27,Partially cloudy,2
2001-04-28,Partially cloudy,2
2001-04-29,Partially cloudy,2
2001-04-30,Partially cloudy,2
2001-05-01,Partially cloudy,2
