datetime,conditions,quarter
2000-01-01,Partially cloudy,1
2000-01-02,Clear,1
2000-01-03,Clear,1
2000-01-04,Clear,1
2000-01-05,Clear,1
2000-01-06,Clear,1
2000-01-07,Partially cloudy,1
2000-01-08,Partially cloudy,1
2000-01-09,Partially cloudy,1
2000-01-10,Partially cloudy,1
2000-01-11,Partially cloudy,1
2000-01-12,Partially cloudy,1
2000-01-13,"Rain, Partially cloudy",1
2000-01-14,Partially cloudy,1
2000-01-15,Partially cloudy,1
2000-01-16,"Rain, Partially cloudy",1
2000-01-17,"Rain, Partially cloudy",1
2000-01-18,Partially cloudy,1
2000-01-19,Partially cloudy,1
2000-01-20,Partially cloudy,1
2000-01-21,Partially cloudy,1
2000-01-22,Partially cloudy,1
2000-01-23,Partially cloudy,1
2000-01-24,"Rain, Partially cloudy",1
2000-01-25,"Rain, Partially cloudy",1
2000-01-26,Clear,1
2000-01-27,Clear,1
2000-01-28,Partially cloudy,1
2000-01-29,"Rain, Partially cloudy",1
2000-01-30,"Rain, Partially cloudy",1
2000-01-31,"Rain, Partially cloudy",1
2000-02-01,Partially cloudy,1
2000-02-02,Clear,1
2000-02-03,Clear,1
2000-02-04,Partially cloudy,1
2000-02-05,"Rain, Partially cloudy",1
2000-02-06,Clear,1
2000-02-07,Partially cloudy,1
2000-02-08,Partially cloudy,1
2000-02-09,Partially cloudy,1
2000-02-10,"Rain, Partially cloudy",1
2000-02-11,"Rain, Partially cloudy",1
2000-02-12,"Rain, Partially cloudy",1
2000-02-13,"Rain, Partially cloudy",1
2000-02-14,"Rain, Partially cloudy",1
2000-02-15,Partially cloudy,1
2000-02-16,"Rain, Partially cloudy",1
2000-02-17,Partially cloudy,1
2000-02-18,Partially cloudy,1
2000-02-19,Partially cloudy,1
2000-02-20,"Rain, Partially cloudy",1
2000-02-21,"Rain, Partially cloudy",1
2000-02-22,Partially cloudy,1
2000-02-23,"Rain, Partially cloudy",1
2000-02-24,Partially cloudy,1
2000-02-25,Partially cloudy,1
2000-02-26,Clear,1
2000-02-27,"Rain, Partially cloudy",1
2000-02-28,Partially cloudy,1
2000-02-29,Partially cloudy,1
2000-03-01,Partially cloudy,1
2000-03-02,Partially cloudy,1
2000-03-03,"Rain, Partially cloudy",1
2000-03-04,"Rain, Partially cloudy",1
2000-03-05,"Rain, Partially cloudy",1
2000-03-06,"Rain, Partially cloudy",1
2000-03-07,Partially cloudy,1
2000-03-08,"Rain, Partially cloudy",1
2000-03-09,"Rain, Partially cloudy",1
2000-03-10,Clear,1
2000-03-11,Clear,1
