datetime,conditions,quarter
2000-10-01,Partially cloudy,4
2000-10-02,Partially cloudy,4
2000-10-03,Partially cloudy,4
2000-10-04,"Rain, Partially cloudy",4
2000-10-05,Partially cloudy,4
2000-10-06,"Rain, Partially cloudy",4
2000-10-07,Partially cloudy,4
2000-10-08,Partially cloudy,4
2000-10-09,Partially cloudy,4
2000-10-10,"Rain, Partially cloudy",4
2000-10-11,"Rain, Partially cloudy",4
2000-10-12,Partially cloudy,4
2000-10-13,Clear,4
2000-10-14,Clear,4
2000-10-15,Partially cloudy,4
2000-10-16,Clear,4
2000-10-17,Partially cloudy,4
2000-10-18,Partially cloudy,4
2000-10-19,Partially cloudy,4
2000-10-20,Partially cloudy,4
2000-10-21,Partially cloudy,4
2000-10-22,Clear,4
2000-10-23,Partially cloudy,4
2000-10-24,Partially cloudy,4
2000-10-25,Partially cloudy,4
2000-10-26,"Rain, Partially cloudy",4
2000-10-27,"Rain, Partially cloudy",4
2000-10-28,Partially cloudy,4
2000-10-29,"Rain, Partially cloudy",4
2000-10-30,Clear,4
2000-10-31,Clear,4
2000-11-01,Partially cloudy,4
2000-11-02,Partially cloudy,4
2000-11-03,Clear,4
2000-11-04,Clear,4
2000-11-05,Partially cloudy,4
2000-11-06,Partially cloudy,4
2000-11-07,Clear,4
2000-11-08,Clear,4
2000-11-09,Partially cloudy,4
2000-11-10,Partially cloudy,4
2000-11-11,Partially cloudy,4
2000-11-12,Clear,4
2000-11-13,Clear,4
2000-11-14,Clear,4
2000-11-15,Clear,4
2000-11-16,Clear,4
2000-11-17,Clear,4
2000-11-18,Clear,4
2000-11-19,Clear,4
2000-11-20,Partially cloudy,4
2000-11-21,Partially cloudy,4
2000-11-22,Partially cloudy,4
2000-11-23,Clear,4
2000-11-24,Partially cloudy,4
2000-11-25,Clear,4
2000-11-26,Rain,4
2000-11-27,Partially cloudy,4
2000-11-28,Clear,4
2000-11-29,Partially cloudy,4
2000-11-30,Clear,4
2000-12-01,Partially cloudy,4
2000-12-02,Partially cloudy,4
2000-12-03,Clear,4
2000-12-04,"Rain, Partially cloudy",4
2000-12-05,Partially cloudy,4
2000-12-06,Partially cloudy,4
2000-12-07,Partially cloudy,4
2000-12-08,Partially cloudy,4
2000-12-09,Partially cloudy,4
2000-12-10,Partially cloudy,4
2000-12-11,Partially cloudy,4
2000-12-12,Partially cloudy,4
2000-12-13,Partially cloudy,4
2000-12-14,Partially cloudy,4
2000-12-15,Clear,4
2000-12-16,Clear,4
2000-12-17,Clear,4
2000-12-18,Clear,4
2000-12-19,Partially cloudy,4
2000-12-20,Partially cloudy,4
2000-12-21,Clear,4
2000-12-22,Clear,4
2000-12-23,Rain,4
2000-12-24,Partially cloudy,4
2000-12-25,Partially cloudy,4
2000-12-26,Clear,4
2000-12-27,Partially cloudy,4
2000-12-28,Clear,4
2000-12-29,Clear,4
2000-12-30,Partially cloudy,4
2000-12-31,Partially cloudy,4
2001-10-01,Clear,4
2001-10-02,Partially cloudy,4
2001-10-03,Partially cloudy,4
2001-10-04,Partially cloudy,4
2001-10-05,Partially cloudy,4
2001-10-06,Partially cloudy,4
2001-10-07,Partially cloudy,4
2001-10-08,Partially cloudy,4
2001-10-09,Partially cloudy,4
2001-10-10,Partially cloudy,4
2001-10-11,Partially cloudy,4
2001-10-12,Partially cloudy,4
2001-10-13,Partially cloudy,4
2001-10-14,Partially cloudy,4
2001-10-15,Partially cloudy,4
2001-10-16,Partially cloudy,4
2001-10-17,Partially cloudy,4
2001-10-18,Partially cloudy,4
2001-10-19,Partially cloudy,4
2001-10-20,Partially cloudy,4
2001-10-21,Partially cloudy,4
2001-10-22,Partially cloudy,4
2001-10-23,Partially cloudy,4
2001-10-24,Partially cloudy,4
2001-10-25,Partially cloudy,4
2001-10-26,Partially cloudy,4
2001-10-27,Partially cloudy,4
2001-10-28,Partially cloudy,4
2001-10-29,Partially cloudy,4
2001-10-30,"Rain, Partially cloudy",4
2001-10-31,Partially cloudy,4
2001-11-01,Partially cloudy,4
2001-11-02,Partially cloudy,4
2001-11-03,Partially cloudy,4
2001-11-04,"Rain, Partially cloudy",4
2001-11-05,Partially cloudy,4
2001-11-06,Partially cloudy,4
2001-11-07,Partially cloudy,4
2001-11-08,Partially cloudy,4
2001-11-09,Partially cloudy,4
2001-11-10,Partially cloudy,4
2001-11-11,"Rain, Partially cloudy",4
2001-11-12,"Rain, Partially cloudy",4
2001-11-13,Partially cloudy,4
2001-11-14,Clear,4
2001-11-15,Clear,4
2001-11-16,Partially cloudy,4
2001-11-17,Partially cloudy,4
2001-11-18,Rain,4
2001-11-19,Partially cloudy,4
2001-11-20,Partially cloudy,4
2001-11-21,Partially cloudy,4
2001-11-22,Partially cloudy,4
2001-11-23,Partially cloudy,4
2001-11-24,"Rain, Partially cloudy",4
2001-11-25,Partially cloudy,4
2001-11-26,Partially cloudy,4
2001-11-27,Clear,4
2001-11-28,Partially cloudy,4
2001-11-29,"Rain, Partially cloudy",4
2001-11-30,Partially cloudy,4
2001-12-01,Partially cloudy,4
2001-12-02,"Rain, Partially cloudy",4
2001-12-03,"Rain, Partially cloudy",4
2001-12-04,Clear,4
2001-12-05,Partially cloudy,4
2001-12-06,Partially cloudy,4
2001-12-07,Clear,4
2001-12-08,Clear,4
